Ship_Type,Maintenance_Status,Speed_Over_Ground_knots,Engine_Power_kW,Distance_Traveled_nm,Operational_Cost_USD,Cluster
Container Ship,Critical,12.597557515686042,2062.9839824772357,1030.943615593997,483832.3545402914,3
Fish Carrier,Good,10.387579878856574,1796.0574150718112,1060.4863823118408,483388.0005087935,0
Container Ship,Fair,20.74974664420201,1648.5566845480694,658.8741441343343,448543.4040437852,3
Bulk Carrier,Fair,21.055102014905927,915.2617948896436,1126.822519111847,261349.60544928096,2
Fish Carrier,Fair,13.742776795817988,1089.7218028286502,1445.281158929249,287718.3751603411,0
Fish Carrier,Fair,18.616195611741468,2171.646567430521,723.304214719695,184569.0453837265,0
Fish Carrier,Critical,20.43311857278614,2505.0435086214798,270.1185880112646,434449.263514218,0
Container Ship,Critical,23.498047769495663,814.8064524429055,1717.3284132746649,348380.6082315945,3
Container Ship,Fair,23.227100512168303,2685.401653729051,1588.7922821452748,149790.20929058615,3
Fish Carrier,Fair,11.635109413982672,2522.6971944758825,1224.8462670054182,299189.32994697354,0
Tanker,Good,18.25357726090888,2129.517895118907,1311.9785765792312,481866.26163337374,1
Container Ship,Good,10.225342431762162,1599.126107139571,1499.723611287863,481846.65743541706,3
Bulk Carrier,Good,12.50124251034738,2780.449639953995,1474.0718848591584,47653.10298093929,2
Tanker,Good,11.7187831853496,1994.025089845864,1320.4578363183314,405463.9219621573,1
Tanker,Good,15.087218418880006,578.8928793015348,1932.2131318777367,424860.5709555665,1
Bulk Carrier,Critical,20.737837510524542,2525.6728965520856,1813.9455678401207,270793.6804208148,2
Tanker,Good,14.67203769376255,1930.3789825465076,884.7901020683291,256979.61044635315,1
Fish Carrier,Critical,23.76428684807006,1771.7694846572035,1061.9329732820652,118688.61975278996,0
Bulk Carrier,Good,22.638799951120934,1504.1158525177732,1146.9156239443953,415284.9170108217,2
Container Ship,Critical,23.803846551474805,1120.6992408852093,1169.4784973616054,377335.1828511095,3
Container Ship,Good,15.22834729400141,1283.142455932898,713.2055517006775,471255.4255418056,3
Container Ship,Good,17.671558339628614,1845.7646990164,1708.7953545611638,275322.8204725425,3
Fish Carrier,Fair,14.06854894212048,2658.6561637000696,1799.7964049421576,355591.14611143817,0
Bulk Carrier,Fair,18.00364740792694,1643.936540171056,177.1664322201235,396658.3332033629,2
Fish Carrier,Fair,11.024443984090947,2957.614133112831,801.8643544981202,221816.83237758948,0
